,Creation Time,Terminal Time,Current Time,Creation-Terminal Time,Terminal-Current Time,Creation-Current Time,Bid,Ask,BrokerName,Terminal,Protocol,Period,Symbol,Ask_Diff,Bid_Diff,UP,Spread,OpeningTime,ClosingTime,TypeBroker,DR
11511,2020-11-23 14:25:44.515000,2020-11-23 14:25:44.515000,2020-11-23 14:25:44.519168,0.0,4.168,4.168,1.18965,1.18969,Dom Maklerski mBanku,MT4,ZMQ,60,EURUSD,9.999999999843467e-06,0.0,0,5e-05,179.1,,MM,DEMO
11512,2020-11-23 14:25:44.528000,2020-11-23 14:25:44.528000,2020-11-23 14:25:44.575143,0.0,47.143,47.143,1.1896,1.18976,Dom Maklerski Banku Ochrony Srodowiska S.A.,MT4,ZMQ,60,EURUSD,9.999999999843467e-06,1.0000000000065512e-05,1,0.00016,179.1,,MM,DEMO
11513,2020-11-23 14:25:44.681000,2020-11-23 14:25:44.681000,2020-11-23 14:25:44.686222,0.0,5.222,5.222,0.73205,0.73206,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,-1.999999999990898e-05,-1.0000000000065512e-05,-1,1e-05,179.1,,,
11514,2020-11-23 14:25:44.718000,2020-11-23 14:25:44.718000,2020-11-23 14:25:44.740167,0.0,22.167,22.167,1.18959,1.18975,Dom Maklerski Banku Ochrony Srodowiska S.A.,MT4,ZMQ,60,EURUSD,-9.999999999843467e-06,-1.0000000000065512e-05,-1,0.00016,179.1,,MM,DEMO
11515,2020-11-23 14:25:45.064000,2020-11-23 14:25:45.064000,2020-11-23 14:25:45.068143,0.0,4.143,4.143,0.73206,0.73206,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,0.0,1.0000000000065512e-05,0,1e-05,179.1,,,
11516,2020-11-23 14:25:45.219000,2020-11-23 14:25:45.219000,2020-11-23 14:25:45.223142,0.0,4.142,4.142,0.73207,0.73209,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,2.999999999997449e-05,9.99999999995449e-06,1,1e-05,179.1,,,
11517,2020-11-23 14:25:46.955000,2020-11-23 14:25:47.074000,2020-11-23 14:25:47.078141,119.0,4.141,123.141,1.18962,1.18974,OANDA DIVISION1,MT4,ZMQ,60,EURUSD,1.999999999990898e-05,9.999999999843467e-06,1,0.00011,179.1,,MM,REAL
11518,2020-11-23 14:25:47.121000,2020-11-23 14:25:47.121000,2020-11-23 14:25:47.136143,0.0,15.143,15.143,1.18961,1.18977,Dom Maklerski Banku Ochrony Srodowiska S.A.,MT4,ZMQ,60,EURUSD,1.999999999990898e-05,2.0000000000131024e-05,1,0.00016,179.1,,MM,DEMO
11519,2020-11-23 14:25:47.263000,2020-11-23 14:25:47.263000,2020-11-23 14:25:47.267141,0.0,4.141,4.141,1.18967,1.1897,Dom Maklerski mBanku,MT4,ZMQ,60,EURUSD,1.0000000000065512e-05,1.999999999990898e-05,1,5e-05,179.1,,MM,DEMO
11520,2020-11-23 14:25:47.747000,2020-11-23 14:25:47.747000,2020-11-23 14:25:47.751141,0.0,4.141,4.141,0.73208,0.73209,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,0.0,9.99999999995449e-06,0,1e-05,179.1,,,
11521,2020-11-23 14:25:49.328000,2020-11-23 14:25:49.328000,2020-11-23 14:25:49.332814,0.0,4.814,4.814,0.73209,0.7321,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,9.99999999995449e-06,1.0000000000065512e-05,1,1e-05,179.1,,,
11522,2020-11-23 14:25:49.972000,2020-11-23 14:25:50.091000,2020-11-23 14:25:50.095788,119.0,4.788,123.788,1.18964,1.18975,OANDA DIVISION1,MT4,ZMQ,60,EURUSD,1.0000000000065512e-05,2.0000000000131024e-05,1,0.00011,179.1,,MM,REAL
11523,2020-11-23 14:25:50.300000,2020-11-23 14:25:50.300000,2020-11-23 14:25:50.304789,0.0,4.789,4.789,1.18968,1.18972,Dom Maklerski mBanku,MT4,ZMQ,60,EURUSD,2.0000000000131024e-05,1.0000000000065512e-05,1,5e-05,179.1,,MM,DEMO
11524,2020-11-23 14:25:50.315000,2020-11-23 14:25:50.315000,2020-11-23 14:25:50.362789,0.0,47.789,47.789,0.73211,0.73211,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,1.0000000000065512e-05,2.0000000000020002e-05,1,1e-05,179.1,,,
11525,2020-11-23 14:25:50.388000,2020-11-23 14:25:50.388000,2020-11-23 14:25:50.417789,0.0,29.789,29.789,0.73212,0.73212,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,9.99999999995449e-06,9.99999999995449e-06,1,1e-05,179.1,,,
11526,2020-11-23 14:25:51.029000,2020-11-23 14:25:51.029000,2020-11-23 14:25:51.033787,0.0,4.787,4.787,0.73212,0.73213,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,9.99999999995449e-06,0.0,0,1e-05,179.1,,,
11527,2020-11-23 14:25:51.476000,2020-11-23 14:25:51.476000,2020-11-23 14:25:51.480789,0.0,4.789,4.789,0.73211,0.73213,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,0.0,-9.99999999995449e-06,0,1e-05,179.1,,,
