,Creation Time,Terminal Time,Current Time,X,Y,Z,Bid,Ask,TypeBroker,BrokerName,DR,Terminal,Protocol,Symbol
47,2020-08-04 10:40:14.035000,2020-08-04 10:40:14.045000,2020-08-04 10:40:14.049687,10.0,4.687,14.687,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
48,2020-08-04 10:40:14.151000,2020-08-04 10:40:14.161000,2020-08-04 10:40:14.165099,10.0,4.099,14.099,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
49,2020-08-04 10:40:14.254000,2020-08-04 10:40:14.264000,2020-08-04 10:40:14.268099,10.0,4.099,14.099,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
50,2020-08-04 10:40:14.364000,2020-08-04 10:40:14.374000,2020-08-04 10:40:14.378103,10.0,4.103,14.103,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
51,2020-08-04 10:40:14.470000,2020-08-04 10:40:14.480000,2020-08-04 10:40:14.487073,10.0,7.073,17.073,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
52,2020-08-04 10:40:14.582000,2020-08-04 10:40:14.592000,2020-08-04 10:40:14.597074,10.0,5.074,15.074,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
53,2020-08-04 10:40:14.697000,2020-08-04 10:40:14.707000,2020-08-04 10:40:14.712072,10.0,5.072,15.072,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
54,2020-08-04 10:40:14.802000,2020-08-04 10:40:14.812000,2020-08-04 10:40:14.816098,10.0,4.098,14.098,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
55,2020-08-04 10:40:14.910000,2020-08-04 10:40:14.920000,2020-08-04 10:40:14.924073,10.0,4.073,14.073,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
56,2020-08-04 10:40:15.023000,2020-08-04 10:40:15.033000,2020-08-04 10:40:15.038073,10.0,5.073,15.073,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
57,2020-08-04 10:40:15.130000,2020-08-04 10:40:15.140000,2020-08-04 10:40:15.144075,10.0,4.075,14.075,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
58,2020-08-04 10:40:15.240000,2020-08-04 10:40:15.250000,2020-08-04 10:40:15.254098,10.0,4.098,14.098,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
59,2020-08-04 10:40:15.349000,2020-08-04 10:40:15.359000,2020-08-04 10:40:15.363097,10.0,4.097,14.097,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
60,2020-08-04 10:40:15.455000,2020-08-04 10:40:15.465000,2020-08-04 10:40:15.469101,10.0,4.101,14.101,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
