Time,O,H,L,C,V
30/09/2019 01:00:00,1.09369,1.09375,1.09309,1.09344,2142
30/09/2019 02:00:00,1.09343,1.09354,1.09302,1.09309,1142
30/09/2019 03:00:00,1.09308,1.09344,1.09308,1.09327,896
30/09/2019 04:00:00,1.09328,1.09374,1.0931,1.09364,1355
30/09/2019 05:00:00,1.09363,1.0939,1.09348,1.09363,1489
30/09/2019 06:00:00,1.09364,1.09447,1.0931,1.09447,3774
30/09/2019 07:00:00,1.09429,1.09478,1.09346,1.09356,4596
30/09/2019 08:00:00,1.09351,1.09386,1.09316,1.09337,3906
30/09/2019 09:00:00,1.09338,1.09346,1.09202,1.09213,4021
30/09/2019 10:00:00,1.09213,1.09266,1.09193,1.09219,3652
30/09/2019 11:00:00,1.09218,1.09234,1.0906,1.09083,4939
30/09/2019 12:00:00,1.09084,1.0911,1.08848,1.08986,6813
30/09/2019 13:00:00,1.08987,1.09052,1.08912,1.09014,5283
30/09/2019 14:00:00,1.09013,1.09142,1.08984,1.09014,6024
30/09/2019 15:00:00,1.09013,1.09117,1.08989,1.09048,6119
30/09/2019 16:00:00,1.09047,1.09124,1.09032,1.09032,3036
30/09/2019 17:00:00,1.09032,1.09058,1.08934,1.08971,2702
30/09/2019 18:00:00,1.0897,1.0906,1.08967,1.0902,2585
30/09/2019 19:00:00,1.09019,1.09039,1.08989,1.09,2293
30/09/2019 20:00:00,1.08999,1.09006,1.08973,1.08994,998
30/09/2019 21:00:00,1.08983,1.08996,1.08969,1.08983,636
30/09/2019 22:00:00,1.08984,1.09,1.08969,1.08984,940
30/09/2019 23:00:00,1.08986,1.09001,1.08979,1.08994,766
01/10/2019 00:00:00,1.08993,1.0901,1.08951,1.08964,1400
01/10/2019 01:00:00,1.08964,1.08973,1.08889,1.08908,2434
01/10/2019 02:00:00,1.08907,1.08914,1.08858,1.08863,1691
01/10/2019 03:00:00,1.08867,1.08902,1.08866,1.08881,1178
01/10/2019 04:00:00,1.0888,1.08941,1.08867,1.08912,2169
01/10/2019 05:00:00,1.08911,1.08934,1.08874,1.08894,2146
01/10/2019 06:00:00,1.08892,1.08908,1.08792,1.08805,3971
01/10/2019 07:00:00,1.08808,1.08941,1.08808,1.08878,6687
01/10/2019 08:00:00,1.08881,1.08956,1.08853,1.08934,5943
01/10/2019 09:00:00,1.08934,1.09019,1.08925,1.08939,4285
01/10/2019 10:00:00,1.08938,1.09058,1.08919,1.09006,4332
01/10/2019 11:00:00,1.09006,1.0908,1.08958,1.08982,3897
01/10/2019 12:00:00,1.08984,1.09001,1.08893,1.08956,4645
01/10/2019 13:00:00,1.08958,1.09016,1.08848,1.08857,6054
01/10/2019 14:00:00,1.08862,1.09213,1.08862,1.0916,11344
01/10/2019 15:00:00,1.09161,1.09347,1.09155,1.09314,6394
01/10/2019 16:00:00,1.09315,1.0943,1.09276,1.0938,5837
01/10/2019 17:00:00,1.09385,1.09401,1.09253,1.09321,4709
01/10/2019 18:00:00,1.0932,1.0937,1.09303,1.09359,2742
01/10/2019 19:00:00,1.09357,1.09388,1.09331,1.09371,2560
01/10/2019 20:00:00,1.09371,1.09374,1.09315,1.09319,1097
01/10/2019 21:00:00,1.09331,1.09348,1.09274,1.09312,1160
01/10/2019 22:00:00,1.09312,1.09329,1.09292,1.09313,1244
01/10/2019 23:00:00,1.09314,1.09348,1.09298,1.09341,1211
