,Ask,Bid,BrokerName,Creation Time,Current Time,DR,Protocol,Symbol,Terminal,Terminal Time,TypeBroker,X,Y,Z
37,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:32.511000,2019-12-03 17:04:32.842016,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:32.511000,MM,0.0,331.016,331.016
38,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:32.622000,2019-12-03 17:04:32.866014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:32.622000,MM,0.0,244.014,244.014
39,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:32.732000,2019-12-03 17:04:32.892015,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:32.732000,MM,0.0,160.015,160.015
40,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:32.842000,2019-12-03 17:04:32.916038,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:32.842000,MM,0.0,74.038,74.038
41,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:32.948000,2019-12-03 17:04:32.951014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:32.948000,MM,0.0,3.014,3.014
42,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:33.057000,2019-12-03 17:04:33.060014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:33.057000,MM,0.0,3.014,3.014
43,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:33.168000,2019-12-03 17:04:33.171014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:33.168000,MM,0.0,3.014,3.014
44,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:33.280000,2019-12-03 17:04:33.283039,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:33.280000,MM,0.0,3.039,3.039
45,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:33.386000,2019-12-03 17:04:33.389013,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:33.386000,MM,0.0,3.013,3.013
46,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:33.498000,2019-12-03 17:04:33.502014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:33.498000,MM,0.0,4.014,4.014
47,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:33.607000,2019-12-03 17:04:33.610040,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:33.607000,MM,0.0,3.04,3.04
48,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:33.718000,2019-12-03 17:04:33.721014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:33.718000,MM,0.0,3.014,3.014
49,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:33.823000,2019-12-03 17:04:33.826014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:33.823000,MM,0.0,3.014,3.014
50,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:33.936000,2019-12-03 17:04:33.940014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:33.936000,MM,0.0,4.014,4.014
51,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:34.047000,2019-12-03 17:04:34.050045,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:34.047000,MM,0.0,3.045,3.045
52,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:34.156000,2019-12-03 17:04:34.159043,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:34.156000,MM,0.0,3.043,3.043
53,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:34.266000,2019-12-03 17:04:34.269014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:34.266000,MM,0.0,3.014,3.014
54,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:34.370000,2019-12-03 17:04:34.374014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:34.370000,MM,0.0,4.014,4.014
55,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:34.479000,2019-12-03 17:04:34.482013,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:34.479000,MM,0.0,3.013,3.013
56,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:34.590000,2019-12-03 17:04:34.593013,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:34.590000,MM,0.0,3.013,3.013
57,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:34.701000,2019-12-03 17:04:34.704014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:34.701000,MM,0.0,3.014,3.014
58,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:34.812000,2019-12-03 17:04:34.815014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:34.812000,MM,0.0,3.014,3.014
59,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:34.917000,2019-12-03 17:04:34.920044,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:34.917000,MM,0.0,3.044,3.044
